순위,제목,저자,출판사,요약
90,"파이썬으로 살펴보는 아키텍처 패턴: TDD, DDD, EDM 적용하기",해리 퍼시벌,한빛미디어,"파이썬을 활용한 프로젝트의 규모가 커지면서 육각형/클린 아키텍처, 이벤트 기반 아키텍처, 도메인 주도 설계 등 고수준 디자인 패턴에 대한 관심이 높아지고 있다. 이 책은 검증된 예제와 아키텍처 디자인"
91,Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,"초등 고학년부터 필수인 코딩, 주인공 ‘엘리스 토끼’와 함께 게임하듯 배우세요. 176가지 그림과 45가지 코딩 문제를 풀다 보면 코딩 능력과 컴퓨팅 사고력을 동시에 기를 수 있답니다. 이 책은 서울대,"
92,파이썬 코딩의 기술(2판),브렛 슬라킨,길벗,"파이썬다운 방식으로 프로그램을 작성하는 방법, 파이썬을 사용하는 가장 좋은 방법에 대한 통찰을 담았다! 2판에서는 파이썬 3.8까지 이르는 파이썬 3에만 초점을 맞췄으며, 1판의 모든 내용을 검토하고 대부분의"
93,꼼꼼한 재은 씨의 스위프트 문법편(꼼꼼한 재은 씨의 스위프트 시리즈 1),이재은,루비페이퍼,"이 책은 꼼꼼한 재은 씨의 스위프트 시리즈 중 첫 번째 순서로, 최근에 발표된 스위프트 5.0을 기준으로 스위프트의 문법과 구문에 대하여 설명합니다. 스위프트를 이용하여 iOS 앱을 제작하기 위해 필요한 객체"
94,Do it! 자료구조와 함께 배우는 알고리즘 입문: C 언어 편,보요 시바타,이지스퍼블리싱,"국내 IT 기업의 면접, 코딩 시험에서 중요하게 생각하는 역량 가운데 하나는 자료구조와 알고리즘이다. 자료구조와 알고리즘은 머리로 개념만 이해한다고 바로 실전에 사용할 수는 없다. 하나씩 자신의 손으로"
95,러스트 프로그래밍 공식 가이드,스티브 클라브닉,제이펍,『러스트 프로그래밍 공식 가이드』는 러스트의 핵심 개발자 두 명이 러스트 언어의 설치부터 견고하고 확장 가능한 프로그램을 작성하는 기법에 이르기까지 러스트가 제공하는 모든 기능의 활용 방법을 설명한다.
96,실전 파이썬 핸즈온 프로젝트,리본,책만,"우리도 전문가처럼 파이썬 프로그램을 만들 수 있다! 짤막한 파이썬 스크립트를 돌리고 그저 결과만 확인하는 단편적인 학습 방식에서 이제는 벗어나자! 통계학, 물리학, 천문학 등 흥미로운 실생활의 16가지"
97,Go 언어를 활용한 네트워크 프로그래밍,애덤 우드벡,제이펍,"주요 프로그래밍 언어에서 장점만 조합하여 만든 Go 언어는 빠른 속도와 확장성을 자랑하며, 네트워크와 멀티 프로세스 처리에 고성능을 내도록 설계되었습니다. 즉, 네트워크 프로그래밍에 최적화된 언어입니다."
98,Tucker의 Go 언어 프로그래밍(Must Have)(Must Have 시리즈),공봉식,골든래빗(주),구글이 개발한 Go는 고성능 비동기 프로그래밍에 유용한 언어입니다. 이 책은 Go 언어로 ‘나만의 프로그램’을 만들 수 있게 이끌어줍니다. 프로그래밍 초보자도 쉽고 명확하게 이해할 수 있도록 학습 목표를
99,데이터 분석 with 파이썬(현장에서 바로 써먹는),김임용,심통,"데이터 분석 현장 전문가가 데이터 분석 이론과 현장에서 필요한 파이썬 실무 활용법과 노하우를 설명한다. 데이터 분석에 대해 자세히 이해할 수 있도록 데이터 분석의 개념, 발달 과정, 분석 과정을 알아보고"
100,코딩 테스트로 시작하는 파이썬 프로그래밍,다니엘 진가로,영진닷컴,"세계 프로그래밍 대회 기출문제로 익히는 파이썬 프로그래밍
프로그래밍 평가 사이트를 활용한 최고의 코딩 학습 

프로그래밍 경진대회에 출제된 흥미로운 문제들을 풀어가는 과정에서 파이썬 핵심 개념과"
101,아마존 웹 서비스 AWS Discovery Book,권영환,정보문화사,이 책은 클라우드와 Amazon Web Services에 대한 정의와 개념을 이해하는 것부터 시작한다. 전반적으로 서비스가 어떻게 진행되는지 저자의 경험과 실질적으로 사용하는 기술에 대해 이해하고 나면 직접 만들어 볼
102,파이썬 딥러닝 텐서플로,오승환,정보문화사,텐서플로는 누구나 쉽게 활용 가능한 신경망을 구축할 수 있는 딥러닝 프레임워크 중 하나다. 이 책은 텐서플로를 이해하고 실제 데이터 환경에서 사용하고자 하는 사람을 위해 쉽게 풀어서 설명하기 위해
103,파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트,"“개발자에게 딱 필요한 만큼의 이론과 활용 가능한
프로젝트로 배우는 OpenCV 프로그래밍”
OpenCV는 영상 처리와 컴퓨터 비전 분야에서 현존하는 가장 영향력 있는 라이브러리이다.
이 책은 누구나 쉽게"
104,C# 6.0 완벽 가이드 세트(Programming Insight)(전2권),조셉 앨버허리,인사이트,"2000년에 처음 등장한 C#은 유례없이 유연하고 폭넓은 언어로 성장했지만, 대신 프로그래머가 공부해야 할 것도 많아졌다.『C# 6.0 완벽 가이드 세트』는 은 개념과 용법을 중심으로 구성되어 있고 중·고급"
105,이것이 C++이다,최호성,한빛미디어,[이것이 C++이다]는 저자가 20년간 실무와 강의를 통해 쌓은 노하우를 바탕으로 C++를 제대로 입문할 수 있도록 안내하는 책이다. 1부에서는 C와 C++의 차이점을 명쾌하게 설명하고 2장에서는 객체지향
106,C언어 Express(쉽게 풀어쓴)(개정판 3판),천인국,생능출판,"C언어는 공학 전반의 실무 현장에서 가장 많이 사용되는 언어 중의 하나이다. C언어는 간결하고 효율적이며 저수준의 하드웨어 제어도 가능한 강력한 언어이다. 이 책을 저술하게 된 가장 큰 이유는, 프로그래밍"
107,자료구조(C언어로 쉽게 풀어 쓴)(개정판 3판),천인국,생능출판,▶ 이 책은 자료구조를 다룬 이론서입니다.
108,윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,"? 윤성우의 열혈 파이썬 기초편 이후를 말합니다. 
이미 출간되어서 좋은 평가를 받고 있는 '열혈 파이썬 기초편'의 뒤를 잇는 내용의 서적입니다. 파이썬을 조금 더 알고 싶어하는 이들을 대상으로 내용이"
109,나는 파이썬으로 머신러닝한다 1,최정원,씨마스,처음 머신러닝을 공부하는 많은 사람들이 머신러닝을 학습하는 데 고충을 겪고 있습니다. 이러한 사람들의 고충을 한 권의 책으로 해결하기 위해 『나는 파이썬으로 머신러닝한다①』을 집필하기 시작했습니다.
110,가장 쉬운 독학 알고리즘 첫걸음: 파이썬편,마스이 도시카츠,동양북스,이 책은 25가지 알고리즘을 통해 파이썬 프로그래밍 입문을 막 끝낸 사람이 기초 알고리즘 학습에 어떻게 접근해야 하는지 알려줍니다. 또한 파이썬 프로그래밍을 공부한 지 오래된 사람을 위해 파이썬
111,파이썬을 이용한 통계적 머신러닝(3판),박유성,자유아카데미,"임의표본의 개념을 간단한 그림으로 설명한 후, 왜 특성변수(또는 독립변수)가 필요한지 그리고 무슨 역할을 하는지 등을 모형의 관점에서 살펴보고, 통계학의 검정 대신 머신러닝에서는 모형의 적합도와"
112,파이썬을 이용한 딥러닝/강화학습 주식투자(개정판 2판)(위키북스 데이터 사이언스 시리즈 80),퀀티랩,위키북스,"강화학습은 스스로 학습하는 머신러닝 기법으로서 주식 데이터 학습에 잘 적용되는 기법입니다. 이 책에서는 파이썬을 이용한 강화학습 기반의 주식투자 시뮬레이션 프로그램을 개발하는 방법을 살펴보고, 이를"
113,파이썬 클린 코드,마리아노 아나야,터닝포인트,"견고하면서도 확장성이 뛰어난 파이썬 코드를 만드는 비법

파이썬은 누구나 쉽게 시작할 수 있는 프로그래밍 언어이다. 그러나 이 책에서 소개하는 다음 내용을 제대로 숙지하지 않고 개발을 하다보면 더"
114,WPF MVVM 일주일 만에 배우기,아르노 베유,에이콘출판,"필자의 십 수년간의 강의 경험을 최적화하여 집필한 가장 얇은 WPF 개발 서적으로 군더더기 없이 WPF를 빨리 배울 수 있다. 간단한 연습 과제와 따라 하기 방식의 해당 풀이를 통해 컨트롤 및 레이아웃, 데이터"
115,Black Hat Python(2판)(해킹과 보안),저스틴 지이츠,에이콘출판,"다양한 해킹 도구를 사용하는 것도 좋지만, 본인이 원하는 기능을 자유자재로 구현해 낼 수 있다면 얼마나 더 편리할까? 직접 필요한 도구를 개발해 고급 보안 전문가로 발돋움할 수 있는 기회다. 2판은 1판의"
116,전문가를 위한 C++(4판),마크 그레고리,한빛미디어,"C++는 마스터하기 어렵기로 악명 높지만 풍부한 기능 덕분에 게임이나 상용 소프트웨어 애플리케이션을 개발하는 대표 언어로 자리매김했다. 숙련된 C++ 프로그래머조차 잘 모르는 고급 기능도 많이 있는데,"
117,혼자 공부하는 첫 프로그래밍 with 파이썬,문현일,한빛미디어,유튜브 강의! 그림으로 보여주는 ‘눈코딩’ 예제! 프로그램 설치 없이 온라인 실습! 부록 용어 노트! 이 모든 것을 제공하기에 비전공자도 프로그래밍을 독학할 수 있습니다. 이 책은 비전공자가 시중에 나온
118,고성능 파이썬(2판),미샤 고렐릭,한빛미디어,"파이썬 코드가 제대로 동작하더라도 더 빠르게 실행되도록 해야 할 때가 있다. 이 책은 파이썬 3에 맞춰 내용을 보강한 개정판으로, 처리할 데이터 용량이 큰 프로그램의 병목현상을 찾고, 이를 해결해 성능을"
119,동시성 프로그래밍,다카노 유키,한빛미디어,동시성 프로그래밍은 어렵다는 말을 많이 한다. 그 ‘어려움’은 두 가지로 나눌 수 있다. 동시성 프로그래밍의 구조를 이해하지 못하는 데서 느끼는 어려움과 동시성 프로그래밍의 본질적인 어려움이다. 이 책은
120,Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,전 세계 최대 규모의 파이썬 과학 콘퍼런스 사이파이(SciPy)에서 ‘판다스 튜토리얼 강의’를 진행하고 있는 저자의 손을 잡고 데이터 분석과 판다스에 빠르게 입문하세요. 파이썬 기초 문법만 알아도 괜찮습니다.
121,Do it! 타입스크립트 프로그래밍,전예홍,이지스퍼블리싱,이 책은 ES6 자바스크립트를 경험한 독자가 타입스크립트를 이해하고 함수형 프로그래밍을 익히는 데 필요한 개념과 소스를 다룹니다. 타입스크립트는 2012년 발표된 이후 빠르게 확장해 여러 오픈 소스에
122,Do it! 파이썬 생활 프로그래밍(11가지 프로젝트로 시작하는),김창현,이지스퍼블리싱,"이 책은 생활 프로그래머 김창현 박사가 일상과 업무에서 파이썬 프로그래밍을 활용한 경험을 바탕으로 만들어졌습니다. 가장 쉬운 활용법인 계산기부터 미드 ‘프렌즈’에서 대사 추출, 아파트 실거래가 통계"
123,Do it! 자바 완전 정복,김동형,이지스퍼블리싱,진짜 개발자가 되려는 사람들을 위한 자바 프로그래밍 입문서가 나왔다! 이 책은 ‘이제 막 프로그래밍에 입문한 사람’에게 꼭 필요한 기본기부터 ‘찐개발자’라면 꼭 알아야 할 내용까지 국내 집필서 중 가장
124,C# 교과서,박용준,길벗,"『C# 교과서』는 생애 첫 프로그래밍 언어로 C#을 시작하는 독자를 대상으로 한다. 특히 응용 프로그래머를 위한 C# 입문서로, C#을 사용하여 게임(유니티), 웹, 모바일, IoT 등을 개발할 때 필요한 C# 기초"
125,만들면서 배우는 라즈베리파이와 40개의 작품들,장문철,앤써북,〈만들면서 배우는 라즈베리파이와 40개의 작품들〉 책은 중고생과 문과생도 배울 수 있도록 40개 프로젝트 실습을 재미있고 실생활에도 활용할 수 있는 기초ㆍ응용ㆍ사물인터넷ㆍ인공지능 주제와 난이도별로
126,바이오파이썬으로 만나는 생물정보학,한주현,비제이퍼블릭,쏟아지는 생물정보 빅데이터를 처리함에 있어 배우기 쉽고 원하는 결과를 신속하게 만들어 낼 수 있는 파이썬은 이 시대의 단연 인기 있는 언어다. 바이오파이썬은 파이썬 라이브러리 중 하나로 유전체 데이터
127,C언어 코딩 도장,남재윤,길벗,"400개 이상의 다양한 연습문제로 배우는 프로그래밍 『C언어 코딩 도장』. 이 책은 130개 이상의 심사문제를 풀어 통과하기 때문에 이 과정에서 C언어가 아니라 C언어 프로그래밍을 배운다. 유닛 85개, 예제"
128,성낙현의 JSP 자바 웹 프로그래밍(Must Have),성낙현,골든래빗(주),이 책은 ‘JSP 기초’ → ‘레벨업’ → ‘현업 스킬’ 과정을 실무에서 주로 사용하는 기능 위주로 다뤄 진입 장벽을 낮추고 학습 효율을 높였습니다. 또한 프로젝트 비중을 키워 핵심 이론을 실무에 응용하는
129,AWS로 시작하는 AI 서비스 with 파이썬,이노우에 켄이치,영진닷컴,AWS의 모체인 Amazon은 세계 제일의 쇼핑 사이트이다. Amazon 내부에서 다양한 AI가 사용되고 있다는 것은 쉽게 상상할 수 있다. AWS의 AI 서비스는 무척 다양하여 전체를 파악하는 것조차도 상당히 어려울
130,그림으로 배우는 파이썬,다카하시 마나,영진닷컴,"파이썬 기초부터 라이브러리, 기계학습 입문까지 
파이썬은 간결해서 배우기 쉽고, 프로그램을 빠르게 개발할 수 있으며, 인공지능 등 다양한 분야에 활용되어 최근 가장 인기 있는 프로그래밍 언어입니다. 이"
131,그림으로 배우는 C#,다카하시 마나,영진닷컴,"C#은 시스템 개발부터 게임 개발까지 다양한 분야에서 이용되고 있는 프로그래밍 언어입니다. 이 책에서는 최신 개발 환경과 C#의 기본 문법부터 클래스, 이벤트, 컨트롤, 이미지 처리, 네트워크, LINQ 등 다양한"
132,초보자를 위한 C# 200제(2판),강병익,정보문화사,다년간 강의를 통해 학생들이 쉽게 배울 수 있는 방법을 찾아 집필한 책이다. 그렇기 때문에 스스로 흥미 있는 프로그램을 만들기 위해 배울 수 있도록 입문자를 배려하고 있다. 텍스트 기반의 콘솔 프로그램에
133,파이썬을 활용한 나만의 RPA 만들기(2021),안정국,삼일인포마인,"파이썬을 활용하여 나만의 로봇 비서를 만들어 보자!

[특장점]
● 국내 최초로 파이썬을 활용한 RPA 제작 사례를 설명
● 파이썬 기초, 판다스 기초에 대한 상세한 설명
● 일반업무 뿐만 아니라"
134,C++ GUI 프로그래밍(QT4를 이용한)(2판),자스민 블랑쉐,아이티씨,"[표지글]

트롤테크의 Qt를 사용하면 윈도우, 리눅스/유닉스, 맥 OS X, 그리고 임베디드 리눅스상에서 동작하는 고성능 C++ 응용프로그램을 소스코드 변경 없이 만들어낼 수 있어. 트롤테크의 두 전문가가"
135,자바 웹 개발 워크북(열혈강의),엄진영,프리렉,이 책은 자바 웹 개발 기초에서 프레임워크를 사용하는 실무 내용까지 다루고 있다. jsp에 한정한 웹 프로그래밍이 아니라 변화한 현재의 동적인 웹 개발 환경에 맞도록 서블릿/JSP를 기본으로 웹 개발에 필요한
136,프로 Git(2판)(Programming Insight),스캇 샤콘,인사이트,[프로 Git]는 Git의 기본적인 사용법부터 고급 기능까지를 전반적으로 살펴보고 언제 어떻게 사용해야 하는지 알려주는 책이다. 2판에서는 Git을 사용하는 오픈 소스 커뮤니티의 폭발적인 증가 양상에 맞춰 Git
137,디스커버리 Go 언어,염재현,한빛미디어,『디스커버리 Go 언어』는 구글 Go 언어 코드 가독성 승인 권한을 가진 저자가 좋은 코드와 나쁜 코드 그리고 멋진 코드를 두루 살펴보면서 얻은 노하우를 실전에 유용하게 Go 언어를 쓸 수 있도록 구성한 책이다.
138,전문가를 위한 파이썬,루시아누 하말류,한빛미디어,"파이썬 기능을 활용하여, 효율적인 파이썬 코드 작성 방법을 제시하는 실용 안내서『전문가를 위한 파이썬』. 이 책은 특히 다른 언어에서는 찾아볼 수 없는 파이썬 고유의 기능을 중점적으로 살펴본다. 파이썬의"
139,객체 지향과 디자인 패턴(개발자가 반드시 정복해야 할),최범균,인투북스,개발자가 반드시 정복해야 할 『객체 지향과 디자인 패턴』. 자바나 C#과 같은 객체 지향 언어는 익혔지만 객체 지향 자체에 대한 이해가 부족한 개발자를 위해 가능한 복잡하지 않은 예제를 이용해 객체 지향의
140,시간순삭 파이썬(시간순삭 시리즈),천인국,생능북스,"이 책은 프로그래밍을 처음 시작하거나 너무 어려워 기초부터 다시 배우고 싶은 학습자도 따라올 수 있도록 쉽고 친근하게 설명된 책이다. 기초부터 차근차근 알려주고 있으며, 중등교육과정의 수학, 과학 등의"
141,파이썬 알고리즘,최영규,생능출판,현대 사회를 살아가고 있는 우리에게 ‘알고리즘’은 더 이상 낯선 단어가 아닙니다. 알고리즘이 컴퓨터 분야에서 코딩과 소프트웨어 개발을 위한 핵심이지만 체계적으로 생각하는 방법을 다룬다는 측면에서
142,C언어 콘서트(누구나 쉽게 즐기는)(누구나 쉽게 즐기는)(개정판 3판),천인국,생능출판,최근 화두가 되고 있는 자율주행자동차나 알파고와 같은 인공지능 컴퓨터를 보면 컴퓨터 분야에서 소프트웨어가 얼마나 중요한지를 새삼 깨닫게 된다. C언어는 컴퓨터 하드웨어가 어떻게 동작하는지를 실감할 수
143,두근두근 파이썬,천인국,생능출판,"『두근두근 파이썬』은 프로그래밍을 처음 시작하는 학습자도 쉽게 따라올 수 있도록 변수, 조건문, 반복문, 함수 등의 기본적인 프로그래밍 개념을 자세히 설명하여 탄탄한 기초를 만들 수 있다. 또한, 적절한"
144,명품 JAVA Programming(개정판 4판),황기태,생능출판,"자바(Java)는 그 이전 시대에 있었던 프로그래밍 언어에서 한 차원 진화된 개념으로 개발된 가히 혁명적 언어이며 플랫폼이다. 한 번 작성된 자바 프로그램은 어느 컴퓨터, 어떤 운영체제에서도 실행될 수 있다."
145,"스마트제조 & 아두이노-PLC 통신 및 C# 프로그래밍(4차 산업혁명 시대, 스마트공장 구축을 위한)",정완보,광문각,"이더넷은 이미 오래전부터 자리 잡고 있는 산업용 통신 기술이다. 공개 표준으로서 다수의 업체가 이 기술을 지원하고 있다. 필요한 데이터 속도에 따라서 다양한 이더넷 표준이 사용되고 있으며, 공장설비로"
146,python으로 배우는 OpenCv 프로그래밍,김동근,가메,"2018년 출간되었던 “Python으로 배우는 OpenCV 프로그래밍”의 개정판으로 내용을 보완하여 

- Python 3.10과 OpenCV 4.5 사용
- Numpy, Matplotlib, pafy, youtube_dl, Pygames. pyOpenGL 
- 영상 및 비디오"
147,파이썬으로 코딩하는 물리,송오영,21세기사,"물리학은 자연에서 일어나는 현상을 논리적으로 이해하고, 이 현상을 설명하는 보편적인 법칙을 찾는 기초과학의 한 분야이다. 물리학에서 지금까지 발견한 물리 법칙들은 짧은 문장과 단순한 수학 방정식으로"
148,윤성우의 열혈 파이썬 기초편,윤성우,오렌지미디어,"누구나 쉽게 공부할 수 있는 파이썬의 기초를 설명한다.
파이썬 3을 기본으로 코딩 경험이 없는 초보자에게 파이썬을 설명합니다.그러나 이 책의 내용만 다 공부하더라도 기본적인 파이썬 활용이 가능한 수준에"
149,컴퓨팅 사고를 위한 파이선 입문,한옥영,성균관대학교출판부,"‘4차 산업혁명’이라는 큰 변화가 이미 눈앞에 펼쳤다. 세상은 급변하고 있으며, 전 세계가 소프트웨어 교육에 엄청난 투자와 노력을 기울이고 있다. 이는 소프트웨어 중심 사회로 세상의 패러다임이 변화하며"
150,누구나 파이썬 통계분석,타니아이 히로키,한빛아카데미,"통계학에 수식이 많아서 어렵다고요?
파이썬을 활용하면 복잡한 수식이 없이도 통계분석을 할 수 있습니다!
책을 따라 실습하다 보면 어느새 통계분석을 하는 자신을 발견하게 됩니다.

이런 분들이 보면 더"
151,난생처음 파이썬 프로그래밍(IT@CookBook),우재남,한빛아카데미,이 책은 파이썬의 핵심 문법을 다양한 삽화와 도식을 통해 시각적으로 설명하여 비전공자도 쉽고 재미있게 배울 수 있습니다. 또한 각 장마다 수록된 실생활 사례 위주의 [LAB]과 [실전 예제]를 실습하면서
152,쉽게 배우는 자료구조 with 파이썬(IT@CookBook),문병로,한빛아카데미,"이 책은 기본 자료구조와 알고리즘을 밀도 있게 풀어낸 기본서입니다.
기본 원리는 이해하기 쉽게 단계별로 차근차근 설명하면서도
구현을 위해 논리의 골격을 구성해가는 과정에서는 저자의 내공까지 충실하게"
153,"파이썬 기반의 AI를 위한 기초수학, 확률 및 통계",강봉주,자유아카데미,▶ 이 책은 Python(파이썬)을 다룬 이론서입니다. Python(파이썬)의 기초적이고 전반적인 내용을 학습할 수 있습니다.
154,하둡 프로그래밍(시작하세요!)(개정판 2판)(데이터베이스 & 빅데이터 시리즈 13),정재화,위키북스,빅 데이터의 핵심 플랫폼인 하둡은 대규모 데이터의 분산 처리를 위한 오픈소스 프레임워크다. 더그 커팅이 구글의 논문을 바탕으로 만든 하둡은 초기에는 검색 엔진에서 사용하기 위한 기술로 개발됐지만 지금은
155,파이썬과 케라스로 배우는 강화학습(개정판)(위키북스 데이터 사이언스 시리즈 54),이웅원,위키북스,‘알파고’로부터 받은 신선한 충격으로 많은 사람들이 강화학습에 관심을 가지기 시작했다. 하지만 처음 강화학습을 공부하는 분들을 위한 쉬운 자료나 강의를 찾아보기 어려웠다. 외국 강의를 통해 어렵게
156,손가락 하나 까딱하지 않는 주식 거래 시스템 구축(위키북스 프로그래밍 & 프랙티스 시리즈 23),장용준,위키북스,"24시간 자동으로 주식을 분석하고 거래하는 시스템을 구축하는 방법을 배우고 나머지 시간은 더 멋지게 보내고 싶은 분들을 위한 책입니다.
프로그램을 처음 접하는 초보자부터 IT 업계에 종사하는 개발자까지"
157,파이썬 데이터 클리닝 쿡북(위키북스 데이터 사이언스 시리즈 74),마이클 워커,위키북스,데이터로부터 통찰을 얻으려면 데이터를 정제해야 한다. 데이터를 적절히 정제하지 않고 곧바로 분석에 들어갔다가는 잘못된 결과를 얻게 될 수 있기 때문이다. 《파이썬 데이터 클리닝 쿡북》은 파이썬으로
158,손에 잡히는 퀀트 투자 with 파이썬(위키북스 데이터 사이언스 시리즈 78),GIL’s LAB,위키북스,《손에 잡히는 퀀트 투자 with 파이썬》은 파이썬과 데이터 분석이 익숙하지 않은 분들도 퀀트 투자 전략을 검증하고 수립할 수 있도록 GIL's LAB(https://gils-lab.tistory.com/)에서 다룬 내용을 체계적으로
159,자바와 JUnit을 활용한 실용주의 단위 테스트,제프 랭어,길벗,"『실용주의 프로그래머』의 앤디 헌트와 데이브 토마스가 알려주는
실용주의 단위 테스트!

클린 코드의 핵심인 단위 테스트, 어디서 어떻게 시작해야 할까? 책에서는 단위 테스트의 개념과 작성 이유부터"
160,젠킨스 2 시작하기,브렌트 래스터,에이콘출판,"최근 소프트웨어 개발 업계에서 지속적인 통합을 위해 사용하는 도구 중, 표준으로 자리잡은 젠킨스는 최근 2.0 버전 배포로 큰 변화를 맞이했다. 이 책은 젠킨스 2.0 버전에서 새롭게 추가된 기능을 심도 있게"
161,Kafka Streams in Action,윌리엄 베젝,에이콘출판,스트림 처리를 원하는 모든 개발자를 위한 책이다. 카프카 스트림즈 API로 스트림 처리 프로그램을 빠르고 쉽게 만드는 것부터 시작해서 프로세서 API로 저수준 제어가 가능한 스트림 처리 프로그램도 만들어
162,파이썬으로 하는 데브옵스,노아 기프트,에이콘출판,"파이썬을 통해 데브옵스를 가장 효율적으로 실천할 수 있는 방법을 구체적인 사례와 함께 설명한다. 특히 CI/CD, 모니터링, 테스트 자동화 등 데브옵스 전문가에게 필요한 다양한 업무와 더 나아가 클라우드와"
163,Go로 구현하는 클라우드 네이티브 애플리케이션(프로그래밍 언어),미나 안드라오스,에이콘출판,도커와 쿠버네티스의 개발 언어인 Go를 사용해 AWS상의 여러 핵심 서비스로 구성되는 마이크로서비스 아키텍처(MSA) 기반의 클라우드 네이티브 애플리케이션 개발을 다룬다. 기본적인 Go 언어 문법과 웹 개발 기초
164,Effective C#(이펙티브)(3판),빌 와그너,한빛미디어,C#은 전통적인 .NET 기반 개발에서 유니티 게임 엔진으로 개발 영역을 확대하면서 더욱 주목받고 있다. 또한 자마린으로 다양한 모바일 플랫폼에 대응할 수 있어 수요가 계속 늘고 있다. 이에 이 책은 소프트웨어
165,C++ 최적화,커트 건서로스,한빛미디어,빠른 코드를 작성하는 시간은 느린 코드를 작성하는 시간보다 결코 길지 않다. 이 책은 올바른 코드를 구현하면서도 빠른 C++ 프로그램을 만드는 최적화 방법을 소개한다. 습관적으로 쓰는 C++ 구문을 점검해보고
166,오준석의 플러터 생존 코딩(소문난 명강의)(개정판),오준석,한빛미디어,이 책은 플러터의 기본을 빠르게 익히고 앱을 직접 만들며 필요한 기능을 알아가는 ‘입문 + 활용서’로서 독자의 시간을 아껴준다. ‘다트 언어 + 플러터 + 안드로이드 스튜디오 + 앱 개발’을 한 권으로
167,"파이썬을 활용한 금융 분석: 파이썬의 기초부터 금융공학, 머신러닝, 퀀트 분석, 매매 시스템 구현까지(2판",이브 힐피시,한빛미디어,현재 파이썬은 데이터와 인공지능이 주도하는 금융 분석 분야에서 대표적인 프로그래밍 언어로 사용되고 있다. 일부 대형 투자은행과 헤지펀드는 파이썬을 핵심적인 거래 시스템과 위험 관리 시스템 구축에 활용
168,Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,"초등 고학년부터 대학생, 어르신까지 ‘코딩할 줄 아는 사람’이 되도록 도와주는 책! 먼저 읽은 공대생 2명이 “대학교 1학년 때 이 책 봤으면 훨씬 좋았겠다!”라고 외친 바로 그 책! IT 분야 베스트셀러 《Do"
169,파이썬으로 배우는 포트폴리오,곽승주,길벗,"이 책은 주식 투자에서 위험을 줄이고 투자 수익을 극대화하기 위한 일환으로 여러 종목에 분산 투자하는 방법인 포트폴리오에 초점을 맞추고 있다. 재무 기초, 포트폴리오 이론, 투자 모델을 수학과 그림, 파이썬"
170,Let’s Get IT 파이썬 프로그래밍,안지혜,길벗,이 책은 개발자로 일하던 저자가 교사가 되어 학생들에게 프로그래밍을 가르친 경험을 바탕으로 집필한 책입니다.프로그래밍을 힘들어하는 학생들이 좀 더 쉽고 재미있게 프로그래밍을 받아들일 수 있는 방법을
171,어서와 C++는 처음이지!,천인국,인피니티북스,C++언어는 C언어에 객체 지향 특징을 추가한 언어로 빠른 실행 속도를 가진 응용 프로그램을 제작하는 데 강점을 가진 언어이다. 하지만 그런 반면에 학습하기 어렵다는 오해도 가지고 있는데 이 책은 이 같은
172,파이썬으로 데이터 주무르기,민형기,비제이퍼블릭,"이 책은 누구나 한 권 이상 가지고 있을 파이썬 기초 문법책과 같은 내용이 아닌, 데이터 분석이라는 특별한 분야에서 초보를 위해 처음부터 끝까지 파이썬으로 진행되는 과정을 다룹니다. 서울시 범죄 현황 분석,"
173,이토록 쉬운 NFT 개발 스타터팩,박정태,루비페이퍼,"웹 애플리케이션에서 블록체인 서비스를 제공하고 싶다면 개념부터 이해해야 합니다. 이 책은 블록체인, 이더리움, 스마트 콘트랙트 등 꼭 알아야 하는 개발 요소의 개념을 친절하게 설명합니다. 또한, 개발"
174,아키텍처를 알아야 앱 개발이 보인다,옥수환,비제이퍼블릭,"안드로이드 앱 시장이 성숙하고, 서비스가 고도화됨에 따라 앱 설계에 대한 중요성이 강조되고 있다. 안드로이드 앱 설계의 핵심 목표는 앱의 성능, 안정성, 유지 보수 용이성을 높이는 것이다. 이를 위해서는"
175,박미정의 깃&깃허브 입문(Must Have)(Must Have 시리즈),박미정,골든래빗(주),깃&깃허브는 현존 최고의 분산형 버전 관리 시스템 및 협업 도구입니다. 많은 프로젝트에서 채택하고 있어 개발자라면 능숙하게 사용할 줄 알아야 합니다. 이 책은 독자가 깃&깃허브를 체득할 수 있게 반복 실습을
176,"카프카, 데이터 플랫폼의 최강자",고승범,책만,"국내 최대 모바일 플랫폼 회사인 카카오에서 '전사 공용 카프카' 서비스를 운영하고, 데이터 파이프라인과 빅데이터 플랫폼을 구축한 저자들의 풍부한 지식, 생생한 실전 경험, 노하우가 가득 담긴 책!

카프카"
177,금융 데이터 분석을 위한 파이썬 판다스,유대표,파이스탁,판다스의 문법을 사용하면 파이썬 기초 문법만을 사용하는 것보다 코드를 더욱 파이썬스럽게 (Pythonic) 작성할 수 있습니다. 다만 데이터의 특성에 따라 사용하는 판다스 기능과 전처리의 방식 이 크게 달라지기
